tweet_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp
888202515573088257,-2147483648,-2147483648,2017-07-19 00:47:34+00:00
886054160059072513,-2147483648,19607400,2017-07-15 02:44:07+00:00
885311592912609280,-2147483648,-2147483648,2017-02-12 01:04:29+00:00
879130579576475649,-2147483648,-2147483648,2017-06-23 01:10:23+00:00
878404777348136964,-2147483648,-2147483648,2017-06-23 16:00:04+00:00
878316110768087041,-2147483648,-2147483648,2015-11-24 03:51:38+00:00
877611172832227328,-2147483648,512804507,2017-06-19 17:14:49+00:00
874434818259525634,-2147483648,-2147483648,2017-05-21 16:48:45+00:00
873697596434513921,-2147483648,-2147483648,2017-05-28 17:23:24+00:00
873337748698140672,-2147483648,-2147483648,2017-06-09 16:22:42+00:00
872668790621863937,-2147483648,154767397,2017-06-08 03:32:35+00:00
871166179821445120,-2147483648,-2147483648,2017-03-13 00:02:39+00:00
869988702071779329,-2147483648,-2147483648,2017-05-02 00:04:57+00:00
868639477480148993,-2147483648,-2147483648,2017-05-27 19:39:34+00:00
867072653475098625,-2147483648,-2147483648,2017-05-18 01:17:25+00:00
866816280283807744,-2147483648,-2147483648,2017-05-22 00:28:40+00:00
866094527597207552,-2147483648,-2147483648,2017-03-04 00:21:08+00:00
863471782782697472,-2147483648,-2147483648,2017-05-12 16:05:02+00:00
861769973181624320,-2147483648,-2147483648,2016-12-07 22:38:52+00:00
860981674716409858,-2147483648,-2147483648,2017-05-05 18:36:06+00:00
860924035999428608,-2147483648,363890752,2017-05-06 17:49:42+00:00
860177593139703809,-2147483648,-2147483648,2016-08-05 21:19:27+00:00
858860390427611136,-2147483648,-2147483648,2017-03-08 18:52:12+00:00
857062103051644929,-2147483648,58709723,2017-04-26 02:37:47+00:00
856602993587888130,-2147483648,-2147483648,2017-03-23 00:18:10+00:00
856330835276025856,-2147483648,66699013,2017-04-24 02:13:14+00:00
855245323840757760,-2147483648,-2147483648,2017-03-16 00:00:07+00:00
855138241867124737,-2147483648,-2147483648,2017-04-20 18:14:33+00:00
852936405516943360,-2147483648,-2147483648,2017-02-14 23:43:18+00:00
851953902622658560,-2147483648,-2147483648,2017-02-08 17:00:26+00:00
851861385021730816,-2147483648,341021133,2017-04-01 21:42:03+00:00
849668094696017920,-2147483648,-2147483648,2017-02-19 01:23:00+00:00
847978865427394560,-2147483648,-2147483648,2017-02-16 23:23:38+00:00
847971574464610304,-2147483648,597064155,2017-04-01 00:36:55+00:00
845459076796616705,-2147483648,-2147483648,2016-07-22 00:43:32+00:00
845098359547420673,-2147483648,-2147483648,2016-09-06 23:56:05+00:00
842892208864923648,-2147483648,-2147483648,2016-12-09 06:17:20+00:00
841833993020538882,-2147483648,-2147483648,2017-01-06 17:33:29+00:00
840761248237133825,-2147483648,-2147483648,2017-03-11 18:35:42+00:00
840728873075638272,-2147483648,-2147483648,2015-11-19 01:27:25+00:00
839290600511926273,-2147483648,41198418,2017-03-08 01:41:24+00:00
838916489579200512,-2147483648,811740824,2017-03-07 00:15:46+00:00
838831947270979586,-2147483648,-2147483648,2016-10-06 01:23:05+00:00
838201503651401729,-2147483648,-2147483648,2017-01-15 21:49:15+00:00
837012587749474308,-2147483648,726634734,2017-03-01 18:47:10+00:00
836648853927522308,-2147483648,-2147483648,2017-02-28 18:43:57+00:00
836397794269200385,-2147483648,-2147483648,2017-01-07 20:18:46+00:00
