tweet_id,in_reply_to_status_id,in_reply_to_user_id
886267009285017600,-2147483648,-2147483648
881633300179243008,-2147483648,47384430
879674319642796034,-2147483648,-2147483648
870726314365509632,-2147483648,16487760
863427515083354112,-2147483648,77596200
863079547188785154,-2147483648,-2147483648
857214891891077121,-2147483648,180670967
856526610513747968,-2147483648,-2147483648
856288084350160898,-2147483648,279280991
855862651834028034,-2147483648,194351775
855860136149123072,-2147483648,13615722
850333567704068097,-2147483648,21955058
848213670039564288,-2147483648,-2147483648
847617282490613760,-2147483648,-2147483648
844979544864018432,-2147483648,-2147483648
840698636975636481,-2147483648,-2147483648
838150277551247360,-2147483648,21955058
838085839343206401,-2147483648,-2147483648
835246439529840640,-2147483648,26259576
832088576586297345,-2147483648,30582082
831926988323639298,-2147483648,20683724
826598799820865537,-2147483648,-2147483648
823333489516937216,-2147483648,1582853809
821153421864615936,-2147483648,113211856
813130366689148928,-2147483648,-2147483648
811647686436880384,-2147483648,-2147483648
802265048156610565,-2147483648,-2147483648
801854953262350336,-2147483648,11856342
800859414831898624,-2147483648,291859009
797165961484890113,-2147483648,29166305
786051337297522688,-2147483648,-2147483648
766714921925144576,-2147483648,-2147483648
763956972077010945,-2147483648,15846407
750381685133418496,-2147483648,-2147483648
747651430853525504,-2147483648,-2147483648
746906459439529985,-2147483648,-2147483648
746818907684614144,-2147483648,-2147483648
738891149612572673,-2147483648,358972768
729838605770891264,-2147483648,-2147483648
707983188426153984,-2147483648,-2147483648
705786532653883392,-2147483648,-2147483648
704871453724954624,-2147483648,-2147483648
704491224099647488,-2147483648,28785486
703425003149250560,-2147483648,-2147483648
696490539101908992,-2147483648,-2147483648
695767669421768709,-2147483648,-2147483648
694356675654983680,-2147483648,-2147483648
693644216740769793,-2147483648,-2147483648
693582294167244802,-2147483648,1198988510
692423280028966913,-2147483648,-2147483648
692142790915014657,-2147483648,-2147483648
690607260360429569,-2147483648,467036706
686035780142297088,-2147483648,-2147483648
685681090388975616,-2147483648,-2147483648
684969860808454144,-2147483648,-2147483648
684538444857667585,-2147483648,-2147483648
684225744407494656,-2147483648,-2147483648
682808988178739200,-2147483648,-2147483648
681340665377193984,-2147483648,-2147483648
678023323247357953,-2147483648,-2147483648
676590572941893632,-2147483648,-2147483648
675870721063669760,-2147483648,-2147483648
675849018447167488,-2147483648,-2147483648
675707330206547968,-2147483648,-2147483648
675349384339542016,-2147483648,-2147483648
674999807681908736,-2147483648,-2147483648
674793399141146624,-2147483648,-2147483648
674754018082705410,-2147483648,-2147483648
674742531037511680,-2147483648,-2147483648
674606911342424069,-2147483648,-2147483648
674330906434379776,-2147483648,16374678
673716320723169284,-2147483648,-2147483648
671729906628341761,-2147483648,-2147483648
671550332464455680,-2147483648,-2147483648
669684865554620416,-2147483648,-2147483648
669353438988365824,-2147483648,-2147483648
668967877119254528,-2147483648,21435658
667070482143944705,-2147483648,-2147483648
